potencial,negocio,nicho,cidade,perfil_cidade,site,nota_site,builder,booking,ano_copyright,instagram,seguidores_ig,emails,diagnostico_site,como_abordar,screenshot
"10","Pool Service Company","piscina","Scottsdale, AZ","Afluente","azpoolguys.com","2","WordPress","nao","","","","","layout fixo de 2005 com clipart de menino na prancha, menu azul em tabela, selos Angies List; familia desde 1997","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: layout fixo de 2005 com clipart de menino na prancha, menu azul em tabela, selos Angies List. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/azpoolguys.com.png"
"9","Macron Mobile Auto Detailing in Columbus","detailing","Columbus, OH","Média","macronmobile.com","2","custom/desconhecido","nao","2013","","","","Site de 2013 com botoes bisotados; detailing premium (pacotes de USD 350) = tem caixa; redesign completo + booking","SEM IG e SEM e-mail no site. Ache 'Macron Mobile Detailing Columbus' no Google Maps/Facebook, ou use o formulário do próprio site. Gancho: mande a prévia junto de 'seu trabalho é premium, o site está em 2013'. Alvo nº1 da lista.","prospeccao/fotos/macronmobile.com.png"
"9","Landscapes of Naples Inc.","landscaping","Naples, FL","Afluente","landscapesofnaples.com","2","custom/desconhecido","nao","2026","","","","fundo de folha verde berrante, logo wordart 3D, parede de texto em italico e Before escrito em cima da foto; 40 anos, familiar","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: fundo de folha verde berrante, logo wordart 3D, parede de texto em italico e Before escrito em cima da foto. Mande a previa da home antes de falar de preco.","prospeccao/fotos/landscapesofnaples.com.png"
"9","Zona Med Spa Scottsdale","med spa","Scottsdale, AZ","Afluente","zonamedspa.com","3","WordPress","sim","2025","@zonamedspa","13K","","logo preto ilegivel sobre foto de frasco de botox, sem CTA no hero, 2 widgets de chat cobrindo a tela; 1 unidade","DM no @zonamedspa (13K). SEM e-mail no site. Gancho: logo preto ilegivel sobre foto de frasco de botox, sem CTA no hero, 2 widgets de chat cobrindo a tela. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/zonamedspa.com.png"
"9","Home Alpharetta GA","med spa","Alpharetta, GA","Afluente","youthtopiamedspa.com","4","WordPress","sim","2023","@youthtopiamedspa","6,193","info@youthtopiamedspa.com","cabecalho desorganizado com endereco centralizado e selo da academia solto, faixa branca vazia e slider de 3 fotos com texto sobreposto; 1 unidade","DM no @youthtopiamedspa (6,193) ou e-mail info@youthtopiamedspa.com. Gancho: cabecalho desorganizado com endereco centralizado e selo da academia solto, faixa branca vazia e slider de 3 fotos com texto sobreposto. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/youthtopiamedspa.com.png"
"9","Luxury Med Spa In Alpharetta, GA","med spa","Alpharetta, GA","Afluente","sculptedcontours.com","4","GoDaddy","sim","","@sculptedcontours","769","sculpted@sculptedcontours.com / pmsculpted@sculptedcontours.com","GoDaddy com titulo branco ilegivel sobre foto clara da sala e texto azul cheio de palavra-chave; med spa de 1 unidade em Alpharetta","DM no @sculptedcontours (769) ou e-mail sculpted@sculptedcontours.com. Gancho: GoDaddy com titulo branco ilegivel sobre foto clara da sala e texto azul cheio de palavra-chave. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/sculptedcontours.com.png"
"9","Dentist Boca Raton, FL","odontologia","Boca Raton, FL","Afluente","dentalcareofbocaraton.com","3","WordPress","sim","2026","@dentalcareofbocaraton","451","info@dentalcareofbocaraton.com","logo clipart de praia anos 90, barra roxa mais faixa amarela, banner $99 Cleaning em serif, chat e cookies cobrindo o hero","DM no @dentalcareofbocaraton (451) ou e-mail info@dentalcareofbocaraton.com. Gancho: logo clipart de praia anos 90, barra roxa mais faixa amarela, banner $99 Cleaning em serif, chat e cookies cobrindo o hero. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/dentalcareofbocaraton.com.png"
"9","Prime Home Remodeling","reforma","Bellevue, WA","Afluente","primehomeremodeling.com","3","GoDaddy","nao","2024","@primehomeremodeling","451","micah@micahrich.com / admin@primehomeremodeling.com","GoDaddy: titulo branco ilegivel sobre foto de cozinha, so 4 itens de menu, banner de cookies cobrindo texto, copyright 2024","DM no @primehomeremodeling (451) ou e-mail micah@micahrich.com. Gancho: GoDaddy: titulo branco ilegivel sobre foto de cozinha, so 4 itens de menu, banner de cookies cobrindo texto, copyright 2024. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/primehomeremodeling.com.png"
"9","Roofing Contractor in Alpharetta, GA","roofing","Alpharetta, GA","Afluente","alpharettaroofingpros.com","3","WordPress","nao","2026","","","","menu so com HOME, parede de texto SEO em caixa alta sobre telhado lavado, capitular em quadrado vermelho; roofing local","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: menu so com HOME, parede de texto SEO em caixa alta sobre telhado lavado, capitular em quadrado vermelho. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/alpharettaroofingpros.com.png"
"9","Roofing Contractor Alpharetta GA","roofing","Alpharetta, GA","Afluente","alpharettaroofingcontractor.com","3","custom/desconhecido","nao","2026","","","","hero com foto de banco Pexels de mae e filha na cama (creditada no rodape) e faixas diagonais roxo/vermelho; menu com 3 itens, 1 operacao local","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: hero com foto de banco Pexels de mae e filha na cama (creditada no rodape) e faixas diagonais roxo/vermelho. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/alpharettaroofingcontractor.com.png"
"8","Octopus Car Washes in Florida","car wash","Orlando, FL","Média","octopuscarwashflorida.com","3","WordPress","sim","","","","","Layout anos 2000, logo clipart, fundo de bolhas; 2 unidades familiares; redesign + booking","SEM canal direto no site. Procure 'Octopus Car Wash' no Maps/Facebook. Gancho: print lado a lado (bolhas e clipart) contra a prévia moderna. 2 unidades familiares = fala com o dono.","prospeccao/fotos/octopuscarwashflorida.com.png"
"8","Car Wash","car wash","Phoenix, AZ","Média","pvcarwash.com","3","custom/desconhecido","nao","","","","","Template generico ~2010, 1 unidade + loja de conveniencia; redesign completo","SEM canal direto no site. Buscar no Maps/Facebook. Gancho: 1 unidade + loja de conveniência; prévia com serviços, preços e horário bem visíveis.","prospeccao/fotos/pvcarwash.com.png"
"8","Curbside Mobile Detailing®","detailing","Columbus, OH","Média","curbsidemobiledetailing.com","3","custom/desconhecido","sim","2025","@curbsidemobiledetailing","1,583","info@curbsidemobiledetailing.com","No ar desde 2001, layout 2012, embed YouTube antigo; historia forte pra contar num site novo","DM no @curbsidemobiledetailing (1.583) ou e-mail info@. Gancho: no ar desde 2001 é história forte que o site atual esconde; prévia destacando os 20+ anos.","prospeccao/fotos/curbsidemobiledetailing.com.png"
"8","Exotic & Luxury Mobile Detailing Scottsd","detailing","Scottsdale, AZ","Afluente","northscottsdaledetailing.com","3","Squarespace","sim","2025","@northscottsdaledetailing","180","info@northscottsdaledetailing.com","H1 em fonte monoespacada azul sobre foto laranja de McLaren, contraste ilegivel e serif no paragrafo; 1 unidade","DM no @northscottsdaledetailing (180) ou e-mail info@northscottsdaledetailing.com. Gancho: H1 em fonte monoespacada azul sobre foto laranja de McLaren, contraste ilegivel e serif no paragrafo. Mande a previa da home antes de falar de preco.","prospeccao/fotos/northscottsdaledetailing.com.png"
"8","Luxury Mobile Detailing in Scottsdale, A","detailing","Scottsdale, AZ","Afluente","pictureperfectdetails.com","3","custom/desconhecido","sim","","@pictureperfectdetailin","2,263","randy@pictureperfectdetails.com / thepictureperfectdetailing@gmail.com","menu cortado no meio da palavra, header sem logo, hero so texto em negrito sobre fundo escuro e cookie bar; 1 unidade","DM no @pictureperfectdetailin (2,263) ou e-mail randy@pictureperfectdetails.com. Gancho: menu cortado no meio da palavra, header sem logo, hero so texto em negrito sobre fundo escuro e cookie bar. Mande a previa da home antes de falar de preco.","prospeccao/fotos/pictureperfectdetails.com.png"
"8","American Comfort","hvac","Alpharetta, GA","Afluente","americancomfortac.com","4","WordPress","sim","2018","@americancomfortga","74","","titulo azul com contorno branco ilegivel sobre foto do dono, logo em selo vermelho e azul datado e chat cobrindo o hero; 1 unidade em Winder","DM no @americancomfortga (74). SEM e-mail no site. Gancho: titulo azul com contorno branco ilegivel sobre foto do dono, logo em selo vermelho e azul datado e chat cobrindo o hero. Mande a previa da home antes de falar de preco.","prospeccao/fotos/americancomfortac.com.png"
"8","HVAC Company Alpharetta, GA & Surroundin","hvac","Alpharetta, GA","Afluente","gagneac.com","4","WordPress","sim","2026","","","info@gagneac.com","hero vazio cinza (slider quebrado), tarja rosa Book Now e cards de icone generico; operacao local unica com loja online","E-mail info@gagneac.com. SEM Instagram no site. Gancho: hero vazio cinza (slider quebrado), tarja rosa Book Now e cards de icone generico. Mande a previa da home antes de falar de preco.","prospeccao/fotos/gagneac.com.png"
"8","Karate Orlando","martial arts","Orlando, FL","Média","championshipmartialarts.com","3","WordPress","nao","2026","","","p.paquet@d-a-m.ca / holsej@pakskarate.com / capecoral@randori-pro.com","Hero quebrado (secao em branco, form solto); multi-unidades em Orlando; consertar = venda facil de mostrar","CUIDADO: os e-mails são de outras franquias. Ache a unidade de Orlando no Maps. Gancho: o hero da home está QUEBRADO (seção em branco com formulário solto); o print é o argumento mais fácil da lista inteira.","prospeccao/fotos/championshipmartialarts.com.png"
"8","Medspa In Scottsdale, AZ","med spa","Scottsdale, AZ","Afluente","skindalemedspa.com","4","Squarespace","sim","","@skindalemedspa","987","seo.loginuser@growth99.com / growth99infra@growth99.com","hero e foto de celular da fachada e do estacionamento, barra rosa choque no topo, 3 fontes diferentes; 1 unidade","DM no @skindalemedspa (987) ou e-mail seo.loginuser@growth99.com. Gancho: hero e foto de celular da fachada e do estacionamento, barra rosa choque no topo, 3 fontes diferentes. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/skindalemedspa.com.png"
"8","Medical Spa Frisco TX","med spa","Frisco, TX","Afluente","azurefrisco.com","4","WordPress","sim","2026","@azuremedspa","1,959","","hero com metade direita vazia e imagem faltando, logo folha em gradiente clipart, texto corrido; 1 endereco, medico dono","DM no @azuremedspa (1,959). SEM e-mail no site. Gancho: hero com metade direita vazia e imagem faltando, logo folha em gradiente clipart, texto corrido. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/azurefrisco.com.png"
